Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.955729 | 0.944010 | 0.945638
      10 | 0.931641 | 0.909831 | 0.912760
      15 | 0.907227 | 0.880534 | 0.864258
      20 | 0.887044 | 0.842448 | 0.835938
      25 | 0.860352 | 0.796549 | 0.801758
      30 | 0.845378 | 0.774414 | 0.769857
      35 | 0.829427 | 0.744792 | 0.739909
      40 | 0.805013 | 0.708984 | 0.721029
      45 | 0.787435 | 0.700195 | 0.689453
      50 | 0.761719 | 0.680339 | 0.663737
