Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.962891 | 0.953125 | 0.953776
      10 | 0.942708 | 0.917643 | 0.919596
      15 | 0.924154 | 0.884440 | 0.883138
      20 | 0.901367 | 0.863281 | 0.859701
      25 | 0.889648 | 0.833008 | 0.828451
      30 | 0.868490 | 0.803711 | 0.796549
      35 | 0.846029 | 0.788086 | 0.774414
      40 | 0.827474 | 0.757487 | 0.758464
      45 | 0.807943 | 0.756185 | 0.724284
      50 | 0.787760 | 0.718099 | 0.716471
