Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.956055 | 0.949219 | 0.945638
      10 | 0.931966 | 0.906250 | 0.908529
      15 | 0.918945 | 0.867839 | 0.875977
      20 | 0.895182 | 0.853190 | 0.838867
      25 | 0.870768 | 0.815755 | 0.807292
      30 | 0.842448 | 0.772461 | 0.789714
      35 | 0.823242 | 0.746745 | 0.748047
      40 | 0.813477 | 0.730143 | 0.727865
      45 | 0.791341 | 0.694661 | 0.708008
      50 | 0.783854 | 0.691732 | 0.678711
