stage_name,f_hz,g,n_seeds,improve_ler_mean,improve_ler_std,learned_success_mean,learned_success_std,fixed_success_mean,fixed_success_std,delta_success_mean,delta_success_std,positive_seed_ratio
stage_composed_quick_f1e3_g04,1000.0,0.4,3,-0.01326810361126867,0.22304048027380974,0.91796875,0.018801470153897985,0.9192708333333334,0.0024359748611809512,-0.0013020833333333333,0.017638303625187587,0.3333333333333333
stage_composed_quick_f1e3_g10,1000.0,1.0,3,0.09280701754385966,0.16489753573499602,0.92578125,0.007307924583542854,0.9166666666666666,0.010252614419286212,0.009114583333333334,0.014470124199800045,0.6666666666666666
stage_composed_quick_f1e3_g16,1000.0,1.6,3,0.295401211258395,0.08263420561428753,0.931640625,0.01618463918575007,0.904296875,0.01149968862803105,0.02734375,0.004784159653873394,1.0
