Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.983398 | 0.978516 | 0.975586
      10 | 0.972331 | 0.954102 | 0.951497
      15 | 0.953776 | 0.928385 | 0.930339
      20 | 0.938151 | 0.912760 | 0.908854
      25 | 0.914714 | 0.891276 | 0.878906
      30 | 0.900716 | 0.855469 | 0.859375
      35 | 0.894206 | 0.833659 | 0.837891
      40 | 0.880859 | 0.817383 | 0.815755
      45 | 0.860677 | 0.797526 | 0.807943
      50 | 0.855469 | 0.792318 | 0.779622
