Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.976888 | 0.960938 | 0.959310
      10 | 0.960938 | 0.933594 | 0.924805
      15 | 0.937500 | 0.897786 | 0.879557
      20 | 0.924479 | 0.873047 | 0.852865
      25 | 0.909180 | 0.828125 | 0.833984
      30 | 0.883789 | 0.800781 | 0.786133
      35 | 0.868164 | 0.773763 | 0.765299
      40 | 0.847656 | 0.755859 | 0.736654
      45 | 0.841146 | 0.731120 | 0.718424
      50 | 0.811849 | 0.700521 | 0.685547
