Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.973958 | 0.969727 | 0.961263
      10 | 0.961914 | 0.954427 | 0.936849
      15 | 0.951172 | 0.916992 | 0.922852
      20 | 0.937500 | 0.892904 | 0.883138
      25 | 0.923503 | 0.874023 | 0.871094
      30 | 0.905599 | 0.848633 | 0.847005
      35 | 0.888672 | 0.844727 | 0.817708
      40 | 0.863607 | 0.806641 | 0.798177
      45 | 0.860677 | 0.770508 | 0.788086
      50 | 0.840820 | 0.780273 | 0.756836
