Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.975586 | 0.967122 | 0.974609
      10 | 0.958984 | 0.942708 | 0.950521
      15 | 0.936198 | 0.913411 | 0.930990
      20 | 0.922852 | 0.887044 | 0.902669
      25 | 0.900716 | 0.845052 | 0.876953
      30 | 0.893555 | 0.828451 | 0.858398
      35 | 0.878581 | 0.809896 | 0.839193
      40 | 0.844076 | 0.783854 | 0.814128
      45 | 0.842773 | 0.752930 | 0.797201
      50 | 0.815430 | 0.739258 | 0.766602
