Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.980143 | 0.973307 | 0.973633
      10 | 0.965169 | 0.945964 | 0.940755
      15 | 0.946940 | 0.921549 | 0.905273
      20 | 0.934896 | 0.895182 | 0.881510
      25 | 0.914714 | 0.866536 | 0.852865
      30 | 0.888672 | 0.847005 | 0.822266
      35 | 0.884440 | 0.830404 | 0.795898
      40 | 0.859701 | 0.806966 | 0.764323
      45 | 0.847331 | 0.778971 | 0.755859
      50 | 0.808268 | 0.749023 | 0.716471
