Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.981445 | 0.974609 | 0.975260
      10 | 0.970378 | 0.958984 | 0.958333
      15 | 0.952148 | 0.945964 | 0.944987
      20 | 0.931966 | 0.922526 | 0.922852
      25 | 0.924154 | 0.909831 | 0.916016
      30 | 0.901367 | 0.900065 | 0.887370
      35 | 0.896484 | 0.884766 | 0.872396
      40 | 0.873047 | 0.854167 | 0.847982
      45 | 0.870768 | 0.837240 | 0.833333
      50 | 0.851888 | 0.812174 | 0.830078
