Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.981445 | 0.978516 | 0.977539
      10 | 0.965495 | 0.955404 | 0.954102
      15 | 0.942383 | 0.931641 | 0.942057
      20 | 0.928060 | 0.903971 | 0.924154
      25 | 0.914714 | 0.898112 | 0.896484
      30 | 0.901042 | 0.870117 | 0.876628
      35 | 0.893229 | 0.860677 | 0.864258
      40 | 0.878906 | 0.842773 | 0.840495
      45 | 0.860352 | 0.827148 | 0.835612
      50 | 0.839844 | 0.806315 | 0.799479
