Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.960612 | 0.946615 | 0.948893
      10 | 0.944987 | 0.902018 | 0.916992
      15 | 0.914388 | 0.869466 | 0.887370
      20 | 0.894531 | 0.838216 | 0.845703
      25 | 0.876302 | 0.816081 | 0.835612
      30 | 0.860352 | 0.789062 | 0.812500
      35 | 0.824544 | 0.777995 | 0.769857
      40 | 0.812500 | 0.726562 | 0.740885
      45 | 0.810872 | 0.707682 | 0.729167
      50 | 0.779622 | 0.691406 | 0.707031
