Expr4 V2 cycle sweep finished.
Primary policy: full_channel_RL
Transfer policy: full_channel_transfer_expr1
n_rounds | primary_success | fixed_zero_success | transfer_success
       5 | 0.955404 | 0.949219 | 0.951497
      10 | 0.938802 | 0.916016 | 0.913086
      15 | 0.913737 | 0.864583 | 0.868490
      20 | 0.876302 | 0.837891 | 0.820312
      25 | 0.867188 | 0.803711 | 0.799154
      30 | 0.840495 | 0.791992 | 0.779297
      35 | 0.823893 | 0.758464 | 0.734375
      40 | 0.804036 | 0.732422 | 0.708984
      45 | 0.772461 | 0.716797 | 0.698568
      50 | 0.751302 | 0.681641 | 0.659831
